format,level,source,variable,target,key
icesBiotic,Haul,,CruiseKey,Station,Y
icesBiotic,Haul,,StationKey,Station,Y
icesBiotic,Haul,,Gear,Station,
icesBiotic,Haul,,Number,Station,
icesBiotic,Haul,,StationName,Station,
icesBiotic,Haul,,StartTime,Station,
icesBiotic,Haul,,Duration,Station,
icesBiotic,Haul,,Validity,Station,
icesBiotic,Haul,,Platform,Station,
icesBiotic,Haul,,StartLatitude,Station,
icesBiotic,Haul,,StartLongitude,Station,
icesBiotic,Haul,,StopLatitude,Station,
icesBiotic,Haul,,StopLongitude,Station,
icesBiotic,Haul,,StatisticalRectangle,Station,
icesBiotic,Haul,,MinTrawlDepth,Station,
icesBiotic,Haul,,MaxTrawlDepth,Station,
icesBiotic,Haul,,BottomDepth,Station,
icesBiotic,Haul,,CruiseKey,Station,Y
icesBiotic,Haul,,StationKey,Station,Y
icesBiotic,Haul,,HaulKey,Station,Y
icesBiotic,Haul,,Number,Station,
icesBiotic,Haul,,Gear,Station,
icesBiotic,Haul,,Distance,Station,
icesBiotic,Haul,,Netopening,Station,
icesBiotic,Haul,,CodendMesh,Station,
icesBiotic,Haul,,SweepLength,Station,
icesBiotic,Haul,,GearExceptions,Station,
icesBiotic,Haul,,DoorType,Station,
icesBiotic,Haul,,WarpLength,Station,
icesBiotic,Haul,,WarpDiameter,Station,
icesBiotic,Haul,,WarpDensity,Station,
icesBiotic,Haul,,DoorSurface,Station,
icesBiotic,Haul,,DoorWeight,Station,
icesBiotic,Haul,,DoorSpread,Station,
icesBiotic,Haul,,WingSpread,Station,
icesBiotic,Haul,,Buoyancy,Station,
icesBiotic,Haul,,KiteArea,Station,
icesBiotic,Haul,,GroundRopeWeight,Station,
icesBiotic,Haul,,Rigging,Station,
icesBiotic,Haul,,Tickler,Station,
icesBiotic,Haul,,HydrographicStationID,Station,
icesBiotic,Haul,,TowDirection,Station,
icesBiotic,Haul,,SpeedGround,Station,
icesBiotic,Haul,,SpeedWater,Station,
icesBiotic,Haul,,WindDirection,Station,
icesBiotic,Haul,,WindSpeed,Station,
icesBiotic,Haul,,SwellDirection,Station,
icesBiotic,Haul,,SwellHeight,Station,
icesBiotic,Catch,,DataType,SpeciesCategory,
icesBiotic,Catch,,CruiseKey,SpeciesCategory,Y
icesBiotic,Catch,,StationKey,SpeciesCategory,Y
icesBiotic,Catch,,HaulKey,SpeciesCategory,Y
icesBiotic,Catch,,SpeciesCategoryKey,SpeciesCategory,Y
icesBiotic,Catch,,SpeciesCode,SpeciesCategory,
icesBiotic,Catch,,SpeciesValidity,SpeciesCategory,
icesBiotic,Catch,,SpeciesCategory,SpeciesCategory,
icesBiotic,Catch,,SpeciesCategoryNumber,SpeciesCategory,
icesBiotic,Catch,,WeightUnit,SpeciesCategory,
icesBiotic,Catch,,SpeciesCategoryWeight,SpeciesCategory,
icesBiotic,Catch,,SpeciesSex,SpeciesCategory,
icesBiotic,Catch,,CruiseKey,SpeciesCategory,Y
icesBiotic,Catch,,StationKey,SpeciesCategory,Y
icesBiotic,Catch,,HaulKey,SpeciesCategory,Y
icesBiotic,Catch,,SpeciesCategoryKey,SpeciesCategory,Y
icesBiotic,Catch,,SampleKey,SpeciesCategory,Y
icesBiotic,Catch,,SpeciesCategoryWeight,SpeciesCategory,
icesBiotic,Catch,,SpeciesCategoryNumber,SpeciesCategory,
icesBiotic,Catch,,SubsampledNumber,SpeciesCategory,
icesBiotic,Catch,,SubsamplingFactor,SpeciesCategory,
icesBiotic,Catch,,SubsampleWeight,SpeciesCategory,
icesBiotic,Catch,,LengthCode,SpeciesCategory,
icesBiotic,Catch,,LengthClass,SpeciesCategory,
icesBiotic,Catch,,LengthType,SpeciesCategory,
icesBiotic,Catch,,NumberAtLength,SpeciesCategory,
icesBiotic,Catch,,WeightAtLength,SpeciesCategory,
