format,level,variable,target,iskey
nmdbioticv3.1,fishstation,serialnumber,Station,
nmdbioticv3.1,fishstation,nation,Station,
nmdbioticv3.1,fishstation,catchplatform,Station,
nmdbioticv3.1,fishstation,station,Station,
nmdbioticv3.1,fishstation,fixedstation,Station,
nmdbioticv3.1,fishstation,stationstartdate,Station,
nmdbioticv3.1,fishstation,stationstarttime,Station,
nmdbioticv3.1,fishstation,stationstopdate,Station,
nmdbioticv3.1,fishstation,stationstoptime,Station,
nmdbioticv3.1,fishstation,stationtype,Station,
nmdbioticv3.1,fishstation,latitudestart,Station,
nmdbioticv3.1,fishstation,longitudestart,Station,
nmdbioticv3.1,fishstation,latitudeend,Station,
nmdbioticv3.1,fishstation,longitudeend,Station,
nmdbioticv3.1,fishstation,system,Station,
nmdbioticv3.1,fishstation,area,Station,
nmdbioticv3.1,fishstation,location,Station,
nmdbioticv3.1,fishstation,bottomdepthstart,Station,
nmdbioticv3.1,fishstation,bottomdepthstop,Station,
nmdbioticv3.1,fishstation,bottomdepthmean,Station,
nmdbioticv3.1,fishstation,fishingdepthstart,Station,
nmdbioticv3.1,fishstation,fishingdepthstop,Station,
nmdbioticv3.1,fishstation,fishingdepthcount,Station,
nmdbioticv3.1,fishstation,fishingdepthmax,Station,
nmdbioticv3.1,fishstation,fishingdepthmin,Station,
nmdbioticv3.1,fishstation,fishingdepthmean,Station,
nmdbioticv3.1,fishstation,fishingdepthtemperature,Station,
nmdbioticv3.1,fishstation,fishingbait,Station,
nmdbioticv3.1,fishstation,gearno,Station,
nmdbioticv3.1,fishstation,sweeplength,Station,
nmdbioticv3.1,fishstation,gear,Station,
nmdbioticv3.1,fishstation,gearcount,Station,
nmdbioticv3.1,fishstation,direction,Station,
nmdbioticv3.1,fishstation,gearflow,Station,
nmdbioticv3.1,fishstation,vesselspeed,Station,
nmdbioticv3.1,fishstation,logstart,Station,
nmdbioticv3.1,fishstation,logstop,Station,
nmdbioticv3.1,fishstation,distance,Station,
nmdbioticv3.1,fishstation,gearcondition,Station,
nmdbioticv3.1,fishstation,samplequality,Station,
nmdbioticv3.1,fishstation,verticaltrawlopening,Station,
nmdbioticv3.1,fishstation,verticaltrawlopeningsd,Station,
nmdbioticv3.1,fishstation,trawldoortype,Station,
nmdbioticv3.1,fishstation,trawldoorarea,Station,
nmdbioticv3.1,fishstation,trawldoorweight,Station,
nmdbioticv3.1,fishstation,trawldoorspread,Station,
nmdbioticv3.1,fishstation,trawldoorspreadsd,Station,
nmdbioticv3.1,fishstation,wingspread,Station,
nmdbioticv3.1,fishstation,wingspreadsd,Station,
nmdbioticv3.1,fishstation,wirelength,Station,
nmdbioticv3.1,fishstation,wirediameter,Station,
nmdbioticv3.1,fishstation,wiredensity,Station,
nmdbioticv3.1,fishstation,soaktime,Station,
nmdbioticv3.1,fishstation,tripno,Station,
nmdbioticv3.1,fishstation,fishabundance,Station,
nmdbioticv3.1,fishstation,fishdistribution,Station,
nmdbioticv3.1,fishstation,landingsite,Station,
nmdbioticv3.1,fishstation,fishingground,Station,
nmdbioticv3.1,fishstation,vesselcount,Station,
nmdbioticv3.1,fishstation,dataquality,Station,
nmdbioticv3.1,fishstation,haulvalidity,Station,
nmdbioticv3.1,fishstation,flora,Station,
nmdbioticv3.1,fishstation,vegetationcover,Station,
nmdbioticv3.1,fishstation,visibility,Station,
nmdbioticv3.1,fishstation,waterlevel,Station,
nmdbioticv3.1,fishstation,winddirection,Station,
nmdbioticv3.1,fishstation,windspeed,Station,
nmdbioticv3.1,fishstation,clouds,Station,
nmdbioticv3.1,fishstation,sea,Station,
nmdbioticv3.1,fishstation,weather,Station,
nmdbioticv3.1,fishstation,stationcomment,Station,
nmdbioticv3.1,catchsample,commonname,SpeciesCategory,
nmdbioticv3.1,catchsample,catchcategory,SpeciesCategory,
nmdbioticv3.1,catchsample,catchpartnumber,SpeciesCategory,
nmdbioticv3.1,catchsample,aphia,SpeciesCategory,
nmdbioticv3.1,catchsample,scientificname,SpeciesCategory,
nmdbioticv3.1,catchsample,identification,SpeciesCategory,
nmdbioticv3.1,catchsample,foreignobject,SpeciesCategory,
nmdbioticv3.1,catchsample,sampletype,SpeciesCategory,
nmdbioticv3.1,catchsample,group,SpeciesCategory,
nmdbioticv3.1,catchsample,conservation,SpeciesCategory,
nmdbioticv3.1,catchsample,catchproducttype,SpeciesCategory,
nmdbioticv3.1,catchsample,raisingfactor,SpeciesCategory,
nmdbioticv3.1,catchsample,catchweight,SpeciesCategory,
nmdbioticv3.1,catchsample,catchvolume,SpeciesCategory,
nmdbioticv3.1,catchsample,catchcount,SpeciesCategory,
nmdbioticv3.1,catchsample,abundancecategory,SpeciesCategory,
nmdbioticv3.1,catchsample,sampleproducttype,SpeciesCategory,
nmdbioticv3.1,catchsample,lengthmeasurement,SpeciesCategory,
