format,level,source,variable,target,key
icesBiotic,Haul,,CruiseKey,Station,Y
icesBiotic,Haul,,StationKey,Station,Y
icesBiotic,Haul,,Gear,Haul,
icesBiotic,Haul,,Number,Station,
icesBiotic,Haul,,StationName,Station,
icesBiotic,Haul,,StartTime,Station,
icesBiotic,Haul,,Duration,Haul,
icesBiotic,Haul,,Validity,Haul,
icesBiotic,Haul,,Platform,Station,
icesBiotic,Haul,,StartLatitude,Station,
icesBiotic,Haul,,StartLongitude,Station,
icesBiotic,Haul,,StopLatitude,Station,
icesBiotic,Haul,,StopLongitude,Station,
icesBiotic,Haul,,StatisticalRectangle,Station,
icesBiotic,Haul,,MinTrawlDepth,Haul,
icesBiotic,Haul,,MaxTrawlDepth,Haul,
icesBiotic,Haul,,BottomDepth,Station,
icesBiotic,Haul,,CruiseKey,Haul,Y
icesBiotic,Haul,,StationKey,Haul,Y
icesBiotic,Haul,,HaulKey,Haul,Y
icesBiotic,Haul,,Number,Haul,
icesBiotic,Haul,,Gear,Haul,
icesBiotic,Haul,,Distance,Haul,
icesBiotic,Haul,,Netopening,Haul,
icesBiotic,Haul,,CodendMesh,Haul,
icesBiotic,Haul,,SweepLength,Haul,
icesBiotic,Haul,,GearExceptions,Haul,
icesBiotic,Haul,,DoorType,Haul,
icesBiotic,Haul,,WarpLength,Haul,
icesBiotic,Haul,,WarpDiameter,Haul,
icesBiotic,Haul,,WarpDensity,Haul,
icesBiotic,Haul,,DoorSurface,Haul,
icesBiotic,Haul,,DoorWeight,Haul,
icesBiotic,Haul,,DoorSpread,Haul,
icesBiotic,Haul,,WingSpread,Haul,
icesBiotic,Haul,,Buoyancy,Haul,
icesBiotic,Haul,,KiteArea,Haul,
icesBiotic,Haul,,GroundRopeWeight,Haul,
icesBiotic,Haul,,Rigging,Haul,
icesBiotic,Haul,,Tickler,Haul,
icesBiotic,Haul,,HydrographicStationID,Station,
icesBiotic,Haul,,TowDirection,Station,
icesBiotic,Haul,,SpeedGround,Station,
icesBiotic,Haul,,SpeedWater,Station,
icesBiotic,Haul,,WindDirection,Station,
icesBiotic,Haul,,WindSpeed,Station,
icesBiotic,Haul,,SwellDirection,Station,
icesBiotic,Haul,,SwellHeight,Station,
icesBiotic,Catch,,DataType,Sample,
icesBiotic,Catch,,CruiseKey,SpeciesCategory,Y
icesBiotic,Catch,,StationKey,SpeciesCategory,Y
icesBiotic,Catch,,HaulKey,SpeciesCategory,Y
icesBiotic,Catch,,SpeciesCategoryKey,SpeciesCategory,Y
icesBiotic,Catch,,SpeciesCode,SpeciesCategory,
icesBiotic,Catch,,SpeciesValidity,SpeciesCategory,
icesBiotic,Catch,,SpeciesCategory,SpeciesCategory,
icesBiotic,Catch,,SpeciesCategoryNumber,SpeciesCategory,
icesBiotic,Catch,,WeightUnit,Sample,
icesBiotic,Catch,,SpeciesCategoryWeight,SpeciesCategory,
icesBiotic,Catch,,SpeciesSex,SpeciesCategory,
icesBiotic,Catch,,CruiseKey,Sample,Y
icesBiotic,Catch,,StationKey,Sample,Y
icesBiotic,Catch,,HaulKey,Sample,Y
icesBiotic,Catch,,SpeciesCategoryKey,Sample,Y
icesBiotic,Catch,,SampleKey,Sample,Y
icesBiotic,Catch,,SpeciesCategoryWeight,Sample,
icesBiotic,Catch,,SpeciesCategoryNumber,Sample,
icesBiotic,Catch,,SubsampledNumber,Sample,
icesBiotic,Catch,,SubsamplingFactor,Sample,
icesBiotic,Catch,,SubsampleWeight,Sample,
icesBiotic,Catch,,LengthCode,Sample,
icesBiotic,Catch,,LengthClass,Sample,
icesBiotic,Catch,,LengthType,Sample,
icesBiotic,Catch,,NumberAtLength,Sample,
icesBiotic,Catch,,WeightAtLength,Sample,
