format,level,source,variable,target,key
icesBiotic,Haul,,CruiseKey,Haul,Y
icesBiotic,Haul,,StationKey,Haul,Y
icesBiotic,Haul,,Gear,Haul,
icesBiotic,Haul,,Number,Haul,
icesBiotic,Haul,,StationName,Haul,
icesBiotic,Haul,,StartTime,Haul,
icesBiotic,Haul,,Duration,Haul,
icesBiotic,Haul,,Validity,Haul,
icesBiotic,Haul,,Platform,Haul,
icesBiotic,Haul,,StartLatitude,Haul,
icesBiotic,Haul,,StartLongitude,Haul,
icesBiotic,Haul,,StopLatitude,Haul,
icesBiotic,Haul,,StopLongitude,Haul,
icesBiotic,Haul,,StatisticalRectangle,Haul,
icesBiotic,Haul,,MinTrawlDepth,Haul,
icesBiotic,Haul,,MaxTrawlDepth,Haul,
icesBiotic,Haul,,BottomDepth,Haul,
icesBiotic,Haul,,CruiseKey,Haul,Y
icesBiotic,Haul,,StationKey,Haul,Y
icesBiotic,Haul,,HaulKey,Haul,Y
icesBiotic,Haul,,Number,Haul,
icesBiotic,Haul,,Gear,Haul,
icesBiotic,Haul,,Distance,Haul,
icesBiotic,Haul,,Netopening,Haul,
icesBiotic,Haul,,CodendMesh,Haul,
icesBiotic,Haul,,SweepLength,Haul,
icesBiotic,Haul,,GearExceptions,Haul,
icesBiotic,Haul,,DoorType,Haul,
icesBiotic,Haul,,WarpLength,Haul,
icesBiotic,Haul,,WarpDiameter,Haul,
icesBiotic,Haul,,WarpDensity,Haul,
icesBiotic,Haul,,DoorSurface,Haul,
icesBiotic,Haul,,DoorWeight,Haul,
icesBiotic,Haul,,DoorSpread,Haul,
icesBiotic,Haul,,WingSpread,Haul,
icesBiotic,Haul,,Buoyancy,Haul,
icesBiotic,Haul,,KiteArea,Haul,
icesBiotic,Haul,,GroundRopeWeight,Haul,
icesBiotic,Haul,,Rigging,Haul,
icesBiotic,Haul,,Tickler,Haul,
icesBiotic,Haul,,HydrographicStationID,Haul,
icesBiotic,Haul,,TowDirection,Haul,
icesBiotic,Haul,,SpeedGround,Haul,
icesBiotic,Haul,,SpeedWater,Haul,
icesBiotic,Haul,,WindDirection,Haul,
icesBiotic,Haul,,WindSpeed,Haul,
icesBiotic,Haul,,SwellDirection,Haul,
icesBiotic,Haul,,SwellHeight,Haul,
icesBiotic,Catch,,DataType,Sample,
icesBiotic,Catch,,CruiseKey,Sample,Y
icesBiotic,Catch,,StationKey,Sample,Y
icesBiotic,Catch,,HaulKey,Sample,Y
icesBiotic,Catch,,SpeciesCategoryKey,Sample,Y
icesBiotic,Catch,,SpeciesCode,Sample,
icesBiotic,Catch,,SpeciesValidity,Sample,
icesBiotic,Catch,,SpeciesCategory,Sample,
icesBiotic,Catch,,SpeciesCategoryNumber,Sample,
icesBiotic,Catch,,WeightUnit,Sample,
icesBiotic,Catch,,SpeciesCategoryWeight,Sample,
icesBiotic,Catch,,SpeciesSex,Sample,
icesBiotic,Catch,,CruiseKey,Sample,Y
icesBiotic,Catch,,StationKey,Sample,Y
icesBiotic,Catch,,HaulKey,Sample,Y
icesBiotic,Catch,,SpeciesCategoryKey,Sample,Y
icesBiotic,Catch,,SampleKey,Sample,Y
icesBiotic,Catch,,SpeciesCategoryWeight,Sample,
icesBiotic,Catch,,SpeciesCategoryNumber,Sample,
icesBiotic,Catch,,SubsampledNumber,Sample,
icesBiotic,Catch,,SubsamplingFactor,Sample,
icesBiotic,Catch,,SubsampleWeight,Sample,
icesBiotic,Catch,,LengthCode,Sample,
icesBiotic,Catch,,LengthClass,Sample,
icesBiotic,Catch,,LengthType,Sample,
icesBiotic,Catch,,NumberAtLength,Sample,
icesBiotic,Catch,,WeightAtLength,Sample,
