format,level,variable,target,iskey
nmdbioticv3.1,fishstation,serialnumber,Haul,
nmdbioticv3.1,fishstation,nation,Haul,
nmdbioticv3.1,fishstation,catchplatform,Haul,
nmdbioticv3.1,fishstation,station,Haul,
nmdbioticv3.1,fishstation,fixedstation,Haul,
nmdbioticv3.1,fishstation,stationstartdate,Haul,
nmdbioticv3.1,fishstation,stationstarttime,Haul,
nmdbioticv3.1,fishstation,stationstopdate,Haul,
nmdbioticv3.1,fishstation,stationstoptime,Haul,
nmdbioticv3.1,fishstation,stationtype,Haul,
nmdbioticv3.1,fishstation,latitudestart,Haul,
nmdbioticv3.1,fishstation,longitudestart,Haul,
nmdbioticv3.1,fishstation,latitudeend,Haul,
nmdbioticv3.1,fishstation,longitudeend,Haul,
nmdbioticv3.1,fishstation,system,Haul,
nmdbioticv3.1,fishstation,area,Haul,
nmdbioticv3.1,fishstation,location,Haul,
nmdbioticv3.1,fishstation,bottomdepthstart,Haul,
nmdbioticv3.1,fishstation,bottomdepthstop,Haul,
nmdbioticv3.1,fishstation,bottomdepthmean,Haul,
nmdbioticv3.1,fishstation,fishingdepthstart,Haul,
nmdbioticv3.1,fishstation,fishingdepthstop,Haul,
nmdbioticv3.1,fishstation,fishingdepthcount,Haul,
nmdbioticv3.1,fishstation,fishingdepthmax,Haul,
nmdbioticv3.1,fishstation,fishingdepthmin,Haul,
nmdbioticv3.1,fishstation,fishingdepthmean,Haul,
nmdbioticv3.1,fishstation,fishingdepthtemperature,Haul,
nmdbioticv3.1,fishstation,fishingbait,Haul,
nmdbioticv3.1,fishstation,gearno,Haul,
nmdbioticv3.1,fishstation,sweeplength,Haul,
nmdbioticv3.1,fishstation,gear,Haul,
nmdbioticv3.1,fishstation,gearcount,Haul,
nmdbioticv3.1,fishstation,direction,Haul,
nmdbioticv3.1,fishstation,gearflow,Haul,
nmdbioticv3.1,fishstation,vesselspeed,Haul,
nmdbioticv3.1,fishstation,logstart,Haul,
nmdbioticv3.1,fishstation,logstop,Haul,
nmdbioticv3.1,fishstation,distance,Haul,
nmdbioticv3.1,fishstation,gearcondition,Haul,
nmdbioticv3.1,fishstation,samplequality,Haul,
nmdbioticv3.1,fishstation,verticaltrawlopening,Haul,
nmdbioticv3.1,fishstation,verticaltrawlopeningsd,Haul,
nmdbioticv3.1,fishstation,trawldoortype,Haul,
nmdbioticv3.1,fishstation,trawldoorarea,Haul,
nmdbioticv3.1,fishstation,trawldoorweight,Haul,
nmdbioticv3.1,fishstation,trawldoorspread,Haul,
nmdbioticv3.1,fishstation,trawldoorspreadsd,Haul,
nmdbioticv3.1,fishstation,wingspread,Haul,
nmdbioticv3.1,fishstation,wingspreadsd,Haul,
nmdbioticv3.1,fishstation,wirelength,Haul,
nmdbioticv3.1,fishstation,wirediameter,Haul,
nmdbioticv3.1,fishstation,wiredensity,Haul,
nmdbioticv3.1,fishstation,soaktime,Haul,
nmdbioticv3.1,fishstation,tripno,Haul,
nmdbioticv3.1,fishstation,fishabundance,Haul,
nmdbioticv3.1,fishstation,fishdistribution,Haul,
nmdbioticv3.1,fishstation,landingsite,Haul,
nmdbioticv3.1,fishstation,fishingground,Haul,
nmdbioticv3.1,fishstation,vesselcount,Haul,
nmdbioticv3.1,fishstation,dataquality,Haul,
nmdbioticv3.1,fishstation,haulvalidity,Haul,
nmdbioticv3.1,fishstation,flora,Haul,
nmdbioticv3.1,fishstation,vegetationcover,Haul,
nmdbioticv3.1,fishstation,visibility,Haul,
nmdbioticv3.1,fishstation,waterlevel,Haul,
nmdbioticv3.1,fishstation,winddirection,Haul,
nmdbioticv3.1,fishstation,windspeed,Haul,
nmdbioticv3.1,fishstation,clouds,Haul,
nmdbioticv3.1,fishstation,sea,Haul,
nmdbioticv3.1,fishstation,weather,Haul,
nmdbioticv3.1,fishstation,stationcomment,Haul,
nmdbioticv3.1,catchsample,commonname,Sample,
nmdbioticv3.1,catchsample,catchcategory,Sample,
nmdbioticv3.1,catchsample,catchpartnumber,Sample,
nmdbioticv3.1,catchsample,aphia,Sample,
nmdbioticv3.1,catchsample,scientificname,Sample,
nmdbioticv3.1,catchsample,identification,Sample,
nmdbioticv3.1,catchsample,foreignobject,Sample,
nmdbioticv3.1,catchsample,sampletype,Sample,
nmdbioticv3.1,catchsample,group,Sample,
nmdbioticv3.1,catchsample,conservation,Sample,
nmdbioticv3.1,catchsample,catchproducttype,Sample,
nmdbioticv3.1,catchsample,raisingfactor,Sample,
nmdbioticv3.1,catchsample,catchweight,Sample,
nmdbioticv3.1,catchsample,catchvolume,Sample,
nmdbioticv3.1,catchsample,catchcount,Sample,
nmdbioticv3.1,catchsample,abundancecategory,Sample,
nmdbioticv3.1,catchsample,sampleproducttype,Sample,
nmdbioticv3.1,catchsample,lengthmeasurement,Sample,
nmdbioticv3.1,catchsample,lengthsampleweight,Sample,
nmdbioticv3.1,catchsample,lengthsamplevolume,Sample,
nmdbioticv3.1,catchsample,lengthsamplecount,Sample,
nmdbioticv3.1,catchsample,specimensamplecount,Sample,
nmdbioticv3.1,catchsample,agesamplecount,Sample,
nmdbioticv3.1,catchsample,agingstructure,Sample,
nmdbioticv3.1,catchsample,parasite,Sample,
nmdbioticv3.1,catchsample,stomach,Sample,
nmdbioticv3.1,catchsample,intestine,Sample,
nmdbioticv3.1,catchsample,tissuesample,Sample,
nmdbioticv3.1,catchsample,samplerecipient,Sample,
nmdbioticv3.1,catchsample,catchcomment,Sample,
nmdbioticv3.1,catchsample,catchsampleid,Sample,
