format,level,variable,target,iskey
nmdbioticv3,fishstation,serialnumber,Haul,
nmdbioticv3,fishstation,nation,Haul,
nmdbioticv3,fishstation,catchplatform,Haul,
nmdbioticv3,fishstation,station,Haul,
nmdbioticv3,fishstation,fixedstation,Haul,
nmdbioticv3,fishstation,stationstartdate,Haul,
nmdbioticv3,fishstation,stationstarttime,Haul,
nmdbioticv3,fishstation,stationstopdate,Haul,
nmdbioticv3,fishstation,stationstoptime,Haul,
nmdbioticv3,fishstation,stationtype,Haul,
nmdbioticv3,fishstation,latitudestart,Haul,
nmdbioticv3,fishstation,longitudestart,Haul,
nmdbioticv3,fishstation,latitudeend,Haul,
nmdbioticv3,fishstation,longitudeend,Haul,
nmdbioticv3,fishstation,system,Haul,
nmdbioticv3,fishstation,area,Haul,
nmdbioticv3,fishstation,location,Haul,
nmdbioticv3,fishstation,bottomdepthstart,Haul,
nmdbioticv3,fishstation,bottomdepthstop,Haul,
nmdbioticv3,fishstation,bottomdepthmean,Haul,
nmdbioticv3,fishstation,fishingdepthstart,Haul,
nmdbioticv3,fishstation,fishingdepthstop,Haul,
nmdbioticv3,fishstation,fishingdepthcount,Haul,
nmdbioticv3,fishstation,fishingdepthmax,Haul,
nmdbioticv3,fishstation,fishingdepthmin,Haul,
nmdbioticv3,fishstation,fishingdepthmean,Haul,
nmdbioticv3,fishstation,fishingdepthtemperature,Haul,
nmdbioticv3,fishstation,gearno,Haul,
nmdbioticv3,fishstation,sweeplength,Haul,
nmdbioticv3,fishstation,gear,Haul,
nmdbioticv3,fishstation,gearcount,Haul,
nmdbioticv3,fishstation,direction,Haul,
nmdbioticv3,fishstation,gearflow,Haul,
nmdbioticv3,fishstation,vesselspeed,Haul,
nmdbioticv3,fishstation,logstart,Haul,
nmdbioticv3,fishstation,logstop,Haul,
nmdbioticv3,fishstation,distance,Haul,
nmdbioticv3,fishstation,gearcondition,Haul,
nmdbioticv3,fishstation,samplequality,Haul,
nmdbioticv3,fishstation,verticaltrawlopening,Haul,
nmdbioticv3,fishstation,verticaltrawlopeningsd,Haul,
nmdbioticv3,fishstation,trawldoortype,Haul,
nmdbioticv3,fishstation,trawldoorarea,Haul,
nmdbioticv3,fishstation,trawldoorweight,Haul,
nmdbioticv3,fishstation,trawldoorspread,Haul,
nmdbioticv3,fishstation,trawldoorspreadsd,Haul,
nmdbioticv3,fishstation,wingspread,Haul,
nmdbioticv3,fishstation,wingspreadsd,Haul,
nmdbioticv3,fishstation,wirelength,Haul,
nmdbioticv3,fishstation,wirediameter,Haul,
nmdbioticv3,fishstation,wiredensity,Haul,
nmdbioticv3,fishstation,soaktime,Haul,
nmdbioticv3,fishstation,tripno,Haul,
nmdbioticv3,fishstation,fishabundance,Haul,
nmdbioticv3,fishstation,fishdistribution,Haul,
nmdbioticv3,fishstation,landingsite,Haul,
nmdbioticv3,fishstation,fishingground,Haul,
nmdbioticv3,fishstation,vesselcount,Haul,
nmdbioticv3,fishstation,dataquality,Haul,
nmdbioticv3,fishstation,haulvalidity,Haul,
nmdbioticv3,fishstation,flora,Haul,
nmdbioticv3,fishstation,vegetationcover,Haul,
nmdbioticv3,fishstation,visibility,Haul,
nmdbioticv3,fishstation,waterlevel,Haul,
nmdbioticv3,fishstation,winddirection,Haul,
nmdbioticv3,fishstation,windspeed,Haul,
nmdbioticv3,fishstation,clouds,Haul,
nmdbioticv3,fishstation,sea,Haul,
nmdbioticv3,fishstation,weather,Haul,
nmdbioticv3,fishstation,stationcomment,Haul,
nmdbioticv3,catchsample,commonname,Sample,
nmdbioticv3,catchsample,catchcategory,Sample,
nmdbioticv3,catchsample,catchpartnumber,Sample,
nmdbioticv3,catchsample,aphia,Sample,
nmdbioticv3,catchsample,scientificname,Sample,
nmdbioticv3,catchsample,identification,Sample,
nmdbioticv3,catchsample,foreignobject,Sample,
nmdbioticv3,catchsample,sampletype,Sample,
nmdbioticv3,catchsample,group,Sample,
nmdbioticv3,catchsample,conservation,Sample,
nmdbioticv3,catchsample,catchproducttype,Sample,
nmdbioticv3,catchsample,raisingfactor,Sample,
nmdbioticv3,catchsample,catchweight,Sample,
nmdbioticv3,catchsample,catchvolume,Sample,
nmdbioticv3,catchsample,catchcount,Sample,
nmdbioticv3,catchsample,abundancecategory,Sample,
nmdbioticv3,catchsample,sampleproducttype,Sample,
nmdbioticv3,catchsample,lengthmeasurement,Sample,
nmdbioticv3,catchsample,lengthsampleweight,Sample,
nmdbioticv3,catchsample,lengthsamplevolume,Sample,
nmdbioticv3,catchsample,lengthsamplecount,Sample,
nmdbioticv3,catchsample,specimensamplecount,Sample,
nmdbioticv3,catchsample,agesamplecount,Sample,
nmdbioticv3,catchsample,agingstructure,Sample,
nmdbioticv3,catchsample,parasite,Sample,
nmdbioticv3,catchsample,stomach,Sample,
nmdbioticv3,catchsample,intestine,Sample,
nmdbioticv3,catchsample,tissuesample,Sample,
nmdbioticv3,catchsample,samplerecipient,Sample,
nmdbioticv3,catchsample,catchcomment,Sample,
nmdbioticv3,catchsample,catchsampleid,Sample,
nmdbioticv3,prey,preycategory,PreySample,
nmdbioticv3,prey,preysampleid,PreySample,
nmdbioticv3,prey,preypartnumber,PreySample,
nmdbioticv3,prey,preyforeignobject,PreySample,
nmdbioticv3,prey,source,PreySample,
nmdbioticv3,prey,preydigestion,PreySample,
nmdbioticv3,prey,totalcount,PreySample,
nmdbioticv3,prey,weightresolution,PreySample,
nmdbioticv3,prey,totalweight,PreySample,
nmdbioticv3,prey,interval,PreySample,
nmdbioticv3,prey,devstage,PreySample,
nmdbioticv3,prey,preylengthmeasurement,PreySample,
