format,level,variable,target,iskey
nmdbioticv1.4,fishstation,serialno ,Station,
nmdbioticv1.4,fishstation,nation ,Station,
nmdbioticv1.4,fishstation,platform ,Station,
nmdbioticv1.4,fishstation,station ,Station,
nmdbioticv1.4,fishstation,fixedstation ,Station,
nmdbioticv1.4,fishstation,startdate.fishstation ,Station,
nmdbioticv1.4,fishstation,starttime ,Station,
nmdbioticv1.4,fishstation,stopdate.fishstation ,Station,
nmdbioticv1.4,fishstation,stoptime ,Station,
nmdbioticv1.4,fishstation,stationtype ,Station,
nmdbioticv1.4,fishstation,latitudestart ,Station,
nmdbioticv1.4,fishstation,longitudestart ,Station,
nmdbioticv1.4,fishstation,latitudeend ,Station,
nmdbioticv1.4,fishstation,longitudeend ,Station,
nmdbioticv1.4,fishstation,system ,Station,
nmdbioticv1.4,fishstation,area ,Station,
nmdbioticv1.4,fishstation,location ,Station,
nmdbioticv1.4,fishstation,bottomdepthstart ,Station,
nmdbioticv1.4,fishstation,bottomdepthstop ,Station,
nmdbioticv1.4,fishstation,fishingdepthmax,Haul,
nmdbioticv1.4,fishstation,fishingdepthmin,Haul,
nmdbioticv1.4,fishstation,fishingdepthmean,Haul,
nmdbioticv1.4,fishstation,gearno,Haul,
nmdbioticv1.4,fishstation,gear,Haul,
nmdbioticv1.4,fishstation,gearcount,Haul,
nmdbioticv1.4,fishstation,direction,Haul,
nmdbioticv1.4,fishstation,gearspeed,Haul,
nmdbioticv1.4,fishstation,startlog,Station,
nmdbioticv1.4,fishstation,stoplog,Station,
nmdbioticv1.4,fishstation,distance,Haul,
nmdbioticv1.4,fishstation,gearcondition,Haul,
nmdbioticv1.4,fishstation,trawlquality,Haul,
nmdbioticv1.4,fishstation,trawlopening,Haul,
nmdbioticv1.4,fishstation,trawlopeningsd,Haul,
nmdbioticv1.4,fishstation,doorspread,Haul,
nmdbioticv1.4,fishstation,doorspreadsd,Haul,
nmdbioticv1.4,fishstation,wirelength,Haul,
nmdbioticv1.4,fishstation,soaktime,Haul,
nmdbioticv1.4,fishstation,tripno,Station,
nmdbioticv1.4,fishstation,fishabundance,Station,
nmdbioticv1.4,fishstation,fishdistribution,Station,
nmdbioticv1.4,fishstation,landingsite,Station,
nmdbioticv1.4,fishstation,fishingground,Station,
nmdbioticv1.4,fishstation,countofvessels,Station,
nmdbioticv1.4,fishstation,dataquality,Haul,
nmdbioticv1.4,fishstation,haulvalidity,Haul,
nmdbioticv1.4,fishstation,flora,Station,
nmdbioticv1.4,fishstation,vegetationcover,Station,
nmdbioticv1.4,fishstation,visibility,Station,
nmdbioticv1.4,fishstation,flowcount,Station,
nmdbioticv1.4,fishstation,flowconst,Station,
nmdbioticv1.4,fishstation,waterlevel,Station,
nmdbioticv1.4,fishstation,winddirection,Station,
nmdbioticv1.4,fishstation,windspeed,Station,
nmdbioticv1.4,fishstation,clouds,Station,
nmdbioticv1.4,fishstation,sea,Station,
nmdbioticv1.4,fishstation,weather,Station,
nmdbioticv1.4,fishstation,comment,Station,
nmdbioticv1.4,catchsample,species,SpeciesCategory,
nmdbioticv1.4,catchsample,samplenumber,Sample,
nmdbioticv1.4,catchsample,noname,SpeciesCategory,
nmdbioticv1.4,catchsample,aphia,SpeciesCategory,
nmdbioticv1.4,catchsample,sampletype,Sample,
nmdbioticv1.4,catchsample,group,Sample,
nmdbioticv1.4,catchsample,conservation,Sample,
nmdbioticv1.4,catchsample,producttype,Sample,
nmdbioticv1.4,catchsample,weight,Sample,
nmdbioticv1.4,catchsample,volume,Sample,
nmdbioticv1.4,catchsample,count,Sample,
nmdbioticv1.4,catchsample,abundancecategory,Sample,
nmdbioticv1.4,catchsample,sampleproducttype,Sample,
nmdbioticv1.4,catchsample,lengthmeasurement,Sample,
nmdbioticv1.4,catchsample,lengthsampleweight,Sample,
nmdbioticv1.4,catchsample,lengthsamplevolume,Sample,
nmdbioticv1.4,catchsample,lengthsamplecount,Sample,
nmdbioticv1.4,catchsample,specimensamplecount,Sample,
nmdbioticv1.4,catchsample,raisingfactor,Sample,
nmdbioticv1.4,catchsample,agingstructure,Sample,
nmdbioticv1.4,catchsample,parasite,Sample,
nmdbioticv1.4,catchsample,stomach,Sample,
nmdbioticv1.4,catchsample,genetics,Sample,
nmdbioticv1.4,catchsample,foreignobject,SpeciesCategory,
nmdbioticv1.4,catchsample,comment.catchsample,Sample,
